author_age,author_sex,title,text_date,sentence,sentence_summary
30,F,우리 어떻게 할까요,20200000,"위장병을 앓고 있다. 커피는 금지음식이다. 그러다 어제, 참지 못하고 결국 라떼를 마셨다. 라떼를 안 마시니 자아가 자꾸 분열하는 바람에 이를 막을 방편이 필요했다. 사태의 심각성을 깨닫고, 본인들의 회복의 더뎌질 걸 눈치챘는지 위장도 반 잔 정도는 눈감아주었다. 다행이었다. 오늘은 용기를 내 카페에 왔고, 다시 라떼를 시켰다. 오늘이라면 한 잔도 허용해줄 것 같았다. 두근거리며 기다리는 사이 테이블 위에 커피가 놓였다. 노트북을 뚜껑을 올리고, 이어폰을 끼려는 찰나 익숙한 멜로디가 들렸다. 어제 그리고 오늘 들었던 그리고 1분 전까지 듣고 있던 그 노래였다. 반갑고 신나는 마음에 스피커에서 마지막 음이 나올 때까지 마음을 다해 따라 불렀다. 이 곡을 사랑하는 만큼 성실하게 집중했다. 곧이어 다른 곡이 나왔고, 고개를 돌려 가던 길을 갔다. 멜론을 켜고 키보드를 두드렸다. 한 4분쯤 지났을까 어느 순간 안과 바깥이 섞이고 있었다. 멜로디와 가사가 엇갈리고 있었다. 그 노래가 다시 카페 스피커에서 흐르고 있었다. ""아니 뭘 또.."" 자주 쓰는 물건을 두 번 선물 받은 사람처럼 웃고 있었다. 아무래도 크게 듣는 게 서로(음악과 나)에게 좋으니 이어폰을 다시 뺐다. 옆 테이블에선 ""이 노래 뭐야? 너무 좋은데?"" ""잔나비 곡인가?"" ""헐 엑소 첸이잖아!"" 이 노래를 처음 들은 이들의 알고리즘을 거치고 있었다. 아마도 이 카페의 선곡자가 나처럼 이 노래에 빠져있고, 시도 때도 없이 듣고 싶지만 한 곡 반복을 하기엔 직업윤리에 위반될 것 같고, 하지만 어떻게 해서든 계속 듣고 싶고, 돈은 벌어야겠고, 그리하여 사실상 한 곡 반복이지만 이를 숨기기 위해 사이사이 다른 노래를 심어놓는 것으로 타협한 것 같았다. 아니면 AI가 너무 발전해버려서 이 노래 처돌인 내가 이 카페에 들어선 걸 AI가 캐치해서…는 아니지 아무래도 어쨌든 덕분에 크고 좋은 사운드로 ‘우리 어떻게 할까요’ 를 실컷 들었고, 아직까지 빵과 커피 동시타는 아직…이라는 결론에 도달한 2020년 1월 10일.",커피를 안 마시니 자아가 자꾸 분열하는 바람에 이를 막을 방편이 필요했고 사태의 심각성을 깨닫고 위장도 반 잔 정도는 눈감아주었다.
23,M,교환학생의 추억,20200000,"어제 밤 너에게 내 속마음을 말해버렸고 너는 새벽 3시까지 잠을 이루지 못하고 내가 저질러 놓은 말에 충격을 받았다고 아침 10시쯤 나에게 말해주더라. 반면에 니 말에 따르면 나는 세상 태평하게 배를 훌렁 까놓고 자고 있었다고 했다. 아씨 내가 왜그랬지.. 일어나 정신을 좀 채려보니 너도 막 깨서 등을 끄려고 하는 것 같았고 눈이 마주치고 니가 꺼낸 첫 마디는 ""너 너무 나빠, 친구로라도 남으면 안되는거냐?"" 였고 나는 깨자마자 맘이 내려앉는 듯 느꼈지만 꽤 단호한 태도를 취했던 것 같다. 니랑 친구처럼 지내기엔 니를 향한 내 마음의 공간이 너무 커져버린 거 같았다. 그냥 내 스스로를 속이며 친구로서 지내기엔 내가 너무 슬플 것 같아 그랬던 것 같다. 25년 살면서 연애를 썩 해봤지만 지금 이러고있는 내 마음이 나도 신기하드라.. 어느순간부터 그랬던거 같다. 보고싶어지고 목소리도 듣고싶고, 살을 부딪히고 싶고, 연락을 기다리게되고, 사소한 행동도 민감하게 반응하고, 질투도 가끔 느끼며, 네덜란드에 같이 계속 이 방에 머물고싶은, 화장 안 한 얼굴도, 잠에서 막 깬 부스스한 극사실주의 모습도 귀여워보이고, 보면 웃음이 나고, 내가 곧 여길 떠난다는 생각에 눈물이 올라오는. 오늘, 다시 한국으로 돌아가는 날, 나한테 니는 근처 카페에서 커피한 잔 하며 루미큐브를 하자고 했다.  난 담배 한대 때리며 준비하는 걸 기다려줬다. 기다리는 동안 나는 생각했다. 얘는 마지막까지 미련을 남기게 하는구나... 하는 생각이 들며 눈물이 나올뻔 했다. 카페에서 게임하고 들어와 점심을 함께 먹었다. 얘가 곧 내 생일이 다가온다는 걸 알고 미역국을 끓여줬다. 맛은 있었는데 맛이 없었다. 시간이 다 해결해줄거라고 생각했다. 우리는 내가 저녁 기차를 타러가기 전 같이 공포, 코믹영화를 보며 시간을 죽였고 시간이 되어  얘는 기차역까지 날 데려다줬고, 기차역에서 마지막 포옹을 끝으로 네덜란드에서의 그녀와의 추억은 일단락되었다. 기차를 타고 가는 동안 눈물이 그냥 떨어졌다. 그냥. 계속. 옆에 같이 서있던 외국인도 동정의 눈길을 보내는 것 같았다. 지금도 걔 방에서 2주 동안 머무르며 보낸 시간이 머리속에서 주마등처럼 지나간다.",내가 저지른 말에 충격을 받았다고 아침 10시쯤 나에게 말해준 반면 나는 세상 태평하게 배를 훌렁 까놓고 자고 있었다고 했다. 니의 첫 마디는 너 너무 나빠 친구라도 남으면 안되는 거냐고 했고 깨자마자 맘이 내려앉는 듯 느꼈지만 꽤 단호한 태도였다.
26,F,전재산을 털어 다녀온 미국 혼자여행,20200000,"2016년 첫 입사한 회사를 반년정도 다닐때즈음에 나는 결심을 했었다. 이 거지같은 회사를 벗어나고싶다고 관광학과를 나오고 밖으로 나가길 좋아했던 나는 항상 어딘가를 가고싶어했었다.  그리고 퇴사를 결심했을때 어딘가 여행을 가야겠다 결심했을때 문득 생각이났다. 호주로 워킹홀리데이를 갔을때, 같이 일하던 5살 많은 언니가 한말이..언니는  한 살이라도 어릴때 미국이란 대륙을 가봐야한다고 말해주었고, 나는 그말을 떠올리며 여행계획을 짜기시작했다. 출발일을 정하고, 여행 일정을 계획하기 시작했다. 동행자를 구해보았지만, 나의 여행계획은 무려 한달이나 되었다. 그러다보니 한달씩이나 일정을 뺄 수있는 친구들은 없었고, 난 이 기회를 포기할 수 없었기에 결국 나는 혼자 여행을 계획하게되었다.  퇴사를 하고 퇴직금과 그 동안 조금 모아둔 내 조그맣고 소중한 전재산을 털었다. 여자가 혼자 한달씩이나 여행을 간다고 부모님께 말했을때, 부모님은 약간의 걱정어린 눈빛을 보냈지만 몸 조심하고 연락자주하라는 말만 하셨을뿐 반대의 말씀은 한마디도 하지않으셨고, 오히려 옆에서 격려를 해주셨다. 지금 생각해보면 너무 감사한 부분이다. 모든 계획을 마치고, 출발일 혼자 공항으로 향했고, 친구에게 전화해서 울었다. 가기싫다고 사실 너무 무섭다고, 내가 무슨 부귀영화를 누리겠다고 혼자 이런짓을 했는지 모르겠다고...하지만 주사위는 던져졌었고 나는 출발했어야했다. 우여곡절끝에 도착한 미국이라는 땅, 세상에나 나는 처음 걱정했던것과는 다르게 그 모든 것들을 즐기고있었다. 처음으로 혼자 밥을 먹었고, 자전거를 빌려 금문교를 건넜다. 물론 나는 영어를 못한다. 그러나 죽으란법은 없었다. 내가 개떡같이 말해도 상대방은 찰떡같이 알아들어줬으며, 내가 생각했던 메뉴가 나오지않아도 그냥 그러려니하고 먹었다. 중간 중간 게스트하우스에서 만났던 모든 분들은 나에게 친절했고, 외로웠지만 외롭지않았던, 혼자였지만 혼자가 아니였던 여행을 했다. 거기서 많은 경험을 했고,  많은것들을 보았다.  내가 보고 느꼈던거를 글로 적기에 내 글솜씨가 부족해 다 담아내지 못하지만, 한달동안의 여행은 나의 인생에 있어서 돈으로는 절때 얻지 못할 귀한 경험이였다. 하지만 다시 혼자 한달이나 여행하라면 못할꺼같다. 젊은날의 패기로 내 마음속에 담아두고 혼자 자랑스러워 할것이다.",2016년 첫 입사한 회사를 반년정도 다닐때즈음에 나는 항상 어딘가를가고싶어했었다. 퇴사 후 퇴직금과 그 동안 모아둔 전재산을 털어 혼자 미국이라는 땅으로 떠난 여행은 돈으로는 절대 얻지 못할 귀한 경험이였다.
25,F,아빠,20170000,아빠와 보낼 수 있는 시간이 얼마 남지 않았다는 사실을 받아들이기 어렵다. 어렸을때부터 아빠는 자주 아팠다. 요 몇년간은 아빠와 많이 다퉈서 좋은 기억보다는 좋지 못한 기억이 더 많은게 사실이다. 언젠가 또 아플거라는 생각은 늘 해왔지만 그 시간이 이렇게 빨리 올줄은 미처 누구도 알지 못했다. 우리 가족 중 누구도 예상하지 못했다. 문득 아빠가 아무렇지 않게 웃을때나 평소와 다름없이 설거지를 하는 모습을 보면 더 실감이 나지 않으면서 매우 슬픈 감정을 느낀다. 아빠의 부재나 상실을 상상해보지만 전혀 준비되는 것은 없다.,아빠와 보낼 수 있는 시간이 얼마 남지 않았다는 사실을 받아들이기 어렵다. 어릴 때부터 아빠는 자주 아팠고 요 몇년간은 많이 다퉈서 좋은 기억보다는 좋지 못한 추억들이 더 많다.
29,F,정신을 차리지 못한 대가,20200000,"코 끝을 스치는 비릿한 냄새, 드러난 팔과 다리에 느껴지는 습한 기운. 아, 비의 계절이다. 잿빛 하늘은 도시를 물들이고 이어서 따가운 빗방울들이 뺨을 스쳤다. 일기예보에서는 내일 저녁까지 내린다고 하였으나 아직까지는 쏟아질 기미가 안 보였다. 밖은 더운데 안은 에어컨 바람 때문에 춥다. 두 시간을 버텨보기 위해 뜨거운 커피를 들고 강의실에 들어섰다. 어느덧 유월이다. 정신을 차려보니 올해가 절반이 지나가고 있었다. 그럼에도 불구하고 기억에 남는 하루가 없다. 창가를 맴도는 라일락 향기에 봄이라는 것을 알게 되고, 이렇게 비 냄새를 맡으며 여름이라는 것을 깨닫는다. 계절이 변화할 때 마다 한 번씩 오늘 날짜를 상기해본다. 생각보다 시간이 빠르게 지나가고 있다는 사실에 한숨이 나온다. 어쩐지 시간에 끌려 다니는 느낌이 들어 나의 시간이 내 것이 아니라는 생각을 문득 하게 된다. 유난히 정신을 차릴 수 없는 날들의 연속이었다. 처음엔 스트레스로 우울해서 그런 것이 아닐까 하는 생각에 음악을 들으며 가만히 시간을 보냈다. 그 다음엔 회사에서 신제품 출시를 앞두고 외근이 많아 그런 줄 알았고, 그 다음엔 몸이 좋지 않아서. 하나 둘씩 이유가 늘어갈 때 마다 정신은 더욱 아득해졌다. 아무런 감정도, 생각도 할 수 없어 스트레스는 줄어 들었다. 여름이 다가오기 직전, 퇴근 길에 머릿속에서 떠오른 말은 '사는 게 사는 것 같지 않다.'였다. 누군가는 저 말을 죽음과 동의어처럼 받아 들였고, 누군가는 슬럼프라고 했다. 하지만 말 그대로였다. 아무런 생각도 할 수 없고, 감정도 느낄 수 없고 정신은 아득하니 살아 있어도 살아 있지 않은 좀비와 같은 상태일 뿐이었다. 매일 똑같은 일정을 소화하고 있는 회사원 좀비는 더 이상 아무런 목표도 없고, 의욕도 없으며 생각할 힘도 없었다. 겨우 숨만 쉬면서 버티고 있었다. 아무것도 하고 싶지 않다. 하반기마저 이런 상태일 수는 없다는 생각에 지금 무엇을 하고 싶은지 생각해 보았다. 하지만 내가 원하는 것은 아무것도 안하는 것이었다. 아무것도 하지 않으면 불안해서 스트레스를 받으면서도 한편으로는 원하고 있었다. 결국 아무것도 안 하는 상태지만 마음만은 불안한 채로 시간이 흘렀다. 차라리 아무것도 하지 않아도 되는 시간을 정해 놓는 것이 더 나았을 것이라 후회한다.",나는 아무것도 안 하는 상태지만 마음만은 불안한 채로 시간이 흘렀다. 차라리 아무 생각 없이 살아 있는 것을 정해 놓는 게 더 나았을 거라 후회한다.
19,F,오늘도.,20200000,"꽤나 많이 좋아한다고 생각해. 엊그제도 그랬고, 어제도 그랬고 오늘 역시 그랬어. 내일도 그러겠지. 근데 요즘엔 자신이 없어. 아니 사실 전부터 그래. 어쩌면 처음부터 그랬을지도 모르겠다. 그 때의 나는 분명 내게 상냥한 당신이 좋았는데, 날 찾아와주고 나와 대화해주며 나랑 같이 있어주는 당신이 마냥 좋았어. 그냥 그랬어. 근데 용기를 내서, 어찌보면 여기서 완전히 연이 끝날 수도 있겠다. 부담스러울 수도 있겠다 싶었지만, 그래도 도저히 안 될 것 같아서. 내가 당신을 너무 사랑해서 용기를 낸 이후로는 글쎄. 난 잘 모르겠어. 당신은 기억하지 않겠지, 기억해내지도 못할 거야. 내가 그러고나서, 얼마 안 가 들은 말이 있어. 내가 당신을 연애적으로 좋아한다고 고백을 하고, 당신 역시 날 좋아한다는 말을 하고서도. 그렇지만 그럼에도 연인 관계가 되길 원하지 않는다는 말 이후로, 당신이 내게 그랬잖아. 연인적인 뭔가를 기대하지 말라고. 나는, 그걸 원해서. 그걸 기대하고 당신에게 용기를 낸 건데. 거절당하면 또 모르지만 그것도 아니었으니 그 때의 나는, 정말 말 그대로 그걸 어떻게 받아들이면 좋을지 모르겠었어. 사실 지금도 그래. 그리고 이젠 아무 기대도 하지 않지만, 그냥 그게 트라우마처럼 상처가 되어버렸네. 그래도 당신은 모르겠지. 알아. 그래서 기대하지 않아. 그렇게 나는 오늘도 당신을 사랑할테니까.",나를 찾아와주고 대화해주며 나랑 같이 있어주는 당신이 마냥 좋았다. 하지만 연인 관계가 되길 원하지 않는다는 말 이후로는 잘 모르겠다고 했다.
27,F,언제나 빛나는 너에게,20200000,"간혹 가슴이 뻐근할 정도로 벅차 오르는 감동과 발 밑이 쑤욱 꺼지는 것  같은 두려움을 느끼곤 한다. 손을 내뻗으면 가만히 파고드는 작은 온기가 주는 행복과 언제고 이 온기를 잃어버릴 날이 오게 되리라는 슬픈 에감이 나를 두드리는 것이다. 16년. 내 인생의 절반 이상을 차지하는 긴 시간이었다. 어렸을 때는 너와 헤어지는 건 너무 먼 미래의 일이라 생각하기를 미루었는데 코앞에 닥치니 밀려드는 상념을 멈출 도리가 없다. 오르락내리락 하는 작은 배 위에 손을 올리면 느껴지는 고동이 멈출 날이 멀지 않았다니, 그저 상상하는 것만으로도 끔찍할 뿐이었다. 차라리 만나지 않았으면 좋았을까. 그러나 이 맹목적인 애정과 신뢰를 보내오는 작은 생물이 없었다면 지난 날들을 어찌 보냈을지 나는 감히 가정도 못하겠다. 조금씩 보이지 않는 눈과 눈 주변에 끼는 눈곱들, 걸을 때면 약간 떨리는 다리, 요 몇 년 새 부쩍 늘어난 잠. 다 네가 나이 먹어 간다는 증거다. 어느 날 아파서 토악질을 하다가 물도 제대로 못 넘긴 채 비칠비칠 다가와 내 옆구리에 푹 쓰러져 얼굴을 파묻던 너를 기억한다. 그 때의 생생한 공포도 잊을 길이 없다. 병원에 입원한 널 보며 부디 집에 돌아올 수 있기를 어찌나 바랐던지. 다행히 무사히 집에 돌아왔지만 다음에 또 이런 일이 생긴다면 그 땐 너를 데리고 집에 돌아갈 수 있을까. 나이가 많아 어쩌면 마음의 준비를 해야 할지도 모른단 말을 들었을 때의 심장이 덜컥거리던 그 기분을 대체 어떤 말로 묘사하면 좋을까. 나는 도무지 아무것도 모르겠다. 늘 너의 생각을 듣고 싶었다. 사료는 뭐가 좋은지, 무슨 간식을 제일 좋아하는지, 어디가 아픈지, 어디를 가고 싶은지, 지금 뭘 하고 싶은지, 나나 다른 가족들에게 하고 싶은 말은 없는지. 만약 우리가 말이 통했다면 지금보다 나았을까? 그것도 모르겠다. 너와 함께 지낸 16년. 이젠 너의 얼굴을 보면 뭘 원하는지 대강 짐작이나마 할 수 있지만 그래도 역시 너의 입으로 직접 듣고 싶다. 나는 너의 좋은 친구이고 가족이었을까? 함께 지내는 동안 너는 행복했을까? 내가 너로 인해 행복했던 것처럼 너도 나로 인해 행복했으면 좋겠다. 그리고 바라는 것이 또 있다면 얼마 남지 않은 시간 동안 네가 편안하고 안온한 환경에서 마음 편히 지내다가 마지막엔 고통스럽지 않게 떠나는 것이다. 앞으로 함께할 시간이 되도록 길었으면 하는 건 역시나 내 욕심이겠지. 나는 다만 네가 아프거나 괴롭지 않았으면 해, 내 친구.",가끔 가슴이 뻐근할 정도로 벅차 오르는 감동과 발 밑에 쑤욱 꺼지는 것 같은 두려움을 느끼곤 한다. 내가 너의 좋은 친구이고 가족이었다면 얼마나 행복했을 지 궁금하다.
20,F,아마 사랑,20200000,안녕 <name1> 형이야 오늘은 처음부터 끝까지 네가 없는 하루를 보내봤어 원래처럼 아침에 일어나 친구가 해준 밥도 먹고 또 깨끗하게 치우고 밀린 일도 했고 학생도 가르치고 왔어 새로 만난 아이는 생각보다 얌전하고 나를 잘 따르더라 가르치기 전까지 걱정도 고민도 많았는데 다행이지? 순한 아이라서 한결 걱정은 덜었어 내가 없는 너의 하루는 어땠니? 형은 네가 없다고 일상이 완전히 어긋나고 틀어지진 않더라 단지 있다면 망가진 내 속이 아닐까 싶어 어제 대화가 끝나고 난 후 비트윈 알림을 꺼둬서 이제야 네가 전해둔 말들을 읽어봤어 네 말은 같더라 사랑해 그리고 미안해 두 말은 양립할 수 없는 말인 것만 같은데 우리는 자주 이 말들을 같이 말하는 것만 같아 너는 내게 왜 미안하니 작은 일에도 이렇게 틱틱대고 네 탓으로 돌리는 내게 무엇이 그렇게 미안하니? 원래 이렇게 하루를 다 보내지 않고 더 일찍 네게 말을 꺼내려고 했었는데 네 생각을 하니깐 목이 메여오는 것만 같더라 지금 이 글을 쓰는데도 목이 메여와 너도 나도 다른 무엇도 내게 아무짓도 하지 않는데 왜 자꾸만 메여오는지 모르겠어 이러다 말도 글도 잃지 않을까 싶어 어제 네게 목끝까지 메여와 내뱉은 말들은 어눌했을지 몰라도 뜻은 잘 전해졌다고 생각해 정말 네가 뱉는 사랑해도 더 이상 모르겠었거든 우리는 망가졌지만 사귀기 전부터 너를 좋아하는지도 모르고 신경을 쏟았던 때부터 궁금했던 것을 물어보니 속은 편해 그 아득했던 때부터 이걸 신경쓰고 있던 나도 네게 꽤나 마음이 있었나봐 수많은 사람들과 가능성들 중에 너를 알아내고 찾아내다니 웃기지 그게 지금 아프게 하는 줄도 모르고 생각해보니깐 억울하네 너도 참 웃겨 내게 뭔 말을 했길래 이렇게 헤집어놔 적당량 사랑하게 뒀으면 이런 작은 것은 너와 비슷한지도 모르고 무시했거나 또 맞으면 어쩌겠어 굳이 생각할 필요도 없이 손쉽게 지나갔을텐데 자꾸만 생각을 더하고 더해 이런 사단을 만들어 <name1> 네게 곱게 전달했던 내 마음은 이제 어디로 방향을 틀어야할지 모르겠어 매 사랑에 최선을 다 했고 네게도 그보다 더한 최선을 다하는데 어떻게 이렇게 힘든지 모르겠어 우리가 사랑이 아닌거니 아니면 그 전에 내가 했던 것이 사랑이 아닌 거니 둘 중에 무엇이 맞는 거니 혼자 보내면 좀 나을 줄 알았는데 오늘 혼자 보내도 여전히 기분이 오락가락한 나를 보니깐 그게 아닌 것 같아 내가 어떻게 하면 좋을까 아가 나를 위한 말들이 아니라 네 생각을 말해줘,오늘은 처음부터 끝까지 네가 없는 하루를 보냈는데 새로 만난 아이는 생각보다 얌전하고 잘 따르니 걱정이 많았는데 다행히 순한 아이라서 한결 걱정도 덜었다고 했다. 너는내게 왜 미안하니 작은 일에도 틱틱대고 내 탓으로 돌리는게 억울해 이렇게 사단을 만든다.
24,F,귤,20200000,"여태까지 나는 무엇을 위해서 살아온 걸까. 나도 나름대로 열심히 한 것 같기는 한데 뭘 일구어 놓은 거지? 라는 의문이 들었었다. 또한 지나치다 싶을 정도로 가벼운 꿈들이 내 이유였다. 의학 드라마에서 흰 가운을 입고 수술을 집도하는 의사가 너무 멋있어서 의사의 꿈을 막연하게 꿔 왔다가도, 그림 그리는 게 너무 재밌어서 화가의 꿈으로 쉽게 전향했었다. 이도 저도 아닌 지금 나는 뚜렷한 목표 의식도 가지지 못한 채 무엇을 목표로 세워야 할지 잘 모르겠다. 어영부영 중학교 생활 2년이 흐르자 고등학교에 대해 생각하게 되면서 무서워졌다. 현실을 직면하게 된 것이다. 꿈 보다는 그저 정말 뭐해먹고 살아야하지 하는 막연한 두려움이랄까.. 느리게 흘러가던 시간들이 마구 흐르기 시작했고 어느덧 고등학교1학년이 되었다. 진로에 대해 뚜렷이 이야기하는 친구들의 머리에 직격탄을 맞은 것처럼 띵해졌다. 대학부터 학과까지. 나는 그저 어린 날처럼 막연하게 진로를 꿈꿨었다. 진로 관련 도서를 닥치는 대로 읽어 봐도 그냥 드는 생각은 공허함 뿐이었다. 나는 내가 좋아하는 건 뭔지, 잘하는 건 뭔지, 특기는 뭔지. 아무것도 몰랐다. 초등학교 6년, 중학교 3년, 고등학교 2년 나는 그 많은 시간 동안 무엇을 위해서 헤매었던 걸까. 자괴감은 끝도 없이 늘어났고, 늘어날 때마다 막연한 한숨 뿐이었다. 진로 또한 성적순으로 잘리다 보니 원하는 학과, 진로를 쓸때마다 백짓장처럼 하얘졌다. 정말 최악. 내가 임시방편으로 내린 결론은 일단 여태까지 그래왔던 것처럼 열심히 해보자 그 뿐이었다. 그런데 그 마음도 오래가지 못했다. 학원은 다니는데 성적은 그냥저냥 그대로. 어영부영 고3 막학기.  원하는 진로란엔 간호교사, 학과는 간호학과. 사실 지금와서 생각해보면 내가 정말 원한걸까 싶다. 결과는 낙방.. 생각해보면 참 묘한 인생이다. 그냥 집과 가까워서 넣은 학교, 내 인생 살면서 전혀 생각못한 학과. 난 영어를 진짜 못했다. 그냥 넣어본과였다 점수맞춰서. 무역학과에 턱 붙었다. 그렇게 어영부영 졸업. 학교는 나쁘지않았다. 좋은친구도 만났고, 학교생활도 재밌었다. 간호학과 떨어질 당시엔 난 정말 세상이 무너지는 줄 알았다. 그땐 그랬다. 정말이지 난 이제 어떻게 살아가야하나 싶고.. 근데 또 어영부영 맞춰가면서 살아가고있다. 결론은 한길이었다. 모로가나 나는 또 공무원을 준비하고있다. 참 인생 알다가도 모르겠다. 25년 쯤이면 그래도 어느정돈 인생 살아가는 법 터득할 줄 알았는데 난 여전히 느리고,손해를 많이보고,참 못났다. 약간 그런느낌이라고 할까.. 먹음직스러운 과일중에 제일 구르고 무르고 상처많은 과일. 귤은 자주만져야 당도가 오른다고한다더라. 난 그런 못난 귤같은 인생인가보다. 순탄대로 인생은 아니고 그런 인생 겪어본적도 없지만 뭐 이렇게 살다보면 내 인생도 달게달게 무르익겠지하는 마음으로 살아봐야겠다. 인생 한번뿐인데 나는 날 너무 과소평가한 경향이 있는 것같기도하다. 언젠간 달아지는 시기가 오겠지.",나는 무엇을 위해서 살아온 것인지 의문이 들었고 지나치다 싶을 정도로 가벼운 꿈들이 내 이유였다. 뚜렷한 목표 의식도 가지지 못한 채 어떻게 살아야 할지 잘 모르겠다.
36,M,길위에서,20200000,"제 1 장 무기력이 내가 가진 전부이다. 그 것을 벗어나려 한걸음 내딛기 시작한다. 그것이 내가 갖을수 있는 유일한 성실이고 존재의 증명이 될 것이다. 걷는 것에는 익숙하다. 어릴 때 부터 족히 30분은 걸어서 학교를 다녔다. 지루하고 반복적인 행동이 어떻게 화두를 던져 주는지는 익히 몸으로 배웠다. 그렇게 삽심년이 넘도록 여전히 걷고 있고, 그 화두에 집중한다. 반면 그 지루한 반복에 일상은 더욱 무기력 하고 평이해 간다. 사건이라고 할수 있을까. 아무튼 사건은 이렇다. 그날도 난 걸었다. 그것이 내 일이고, 나이니. 여기저기를 걸었고, 사람을 만나고 이야기를 나눴으며, 점심을 먹고는 목적없이 다시 걸었다. 목적이 있을수도 있겠다. 남는 시간을 지워내려는 목적. 걷다 마주치는 사람은 크게 둘이다. 나와 눈이 마주치거나, 그렇지 않거나. 어떤 사람의 눈은 아무것도 없다. 그런눈은 무섭다. 어떤사람의 눈은 너무나 많은 비밀이 있다. 그것은 나의 화두가 되며 내안으로 건네는 첫인사이다. 그런 상상은 대개 구체적이다. 난 그와 차를 마시거나 일을 하거나 혹은 여행을 가거나 싸우거나 하는 상상을 한다. 물론 은밀한 상상도 빠지지 않는다. 구체적 상황에는 더욱 구체적인 대사가 필요하다. 가끔 그 대사가 입 밖으로 새어 나오기도 하지만 상관없다. 어차피 그들은 나와 상관없다. 아니 그들은 나에게 아무것도 없다. 사소한 상상도. 상상이 재현된다면 그것은 우연일까. 많은 상상을 했고 많은 대화를 한다. 반복에는 법칙이있다. 처음이 또렷이 기억나고 두번 세번의 기억이 어느한쪽에 남아 마침내 서로가 반복적이었음을 인지할때 각자의 눈에서는 석영이 빛난다. 그것이 처음은 아니었지만 처음인척 조심스럽다. 물론 상상에서 조차도. 제 2 장. 바람이 바뀌고 많은 비가 내렸다. 밀어내는 숨에서 받아들이는 숨으로 공기를 느끼게 되었고, 공간의 소리는 희미 해졌다. 이제 매미들은 없었던 곳으로 사라져 간다. 계절과 계절의 바람은 적어도 하나는 가져와 공간을 채우고 다시 공간을 비운다. 무너지는 느낌이 있다. 애초 비워진 공간이라면 불가능한 느낌이다. 사소한 것에 라도 공간은 가득했고, 혹시 가득하지 않았더라도 의미를 둘 만큼 충분했다. 그것이 허물어지고 사라지고 이내 텅 비워졌다. 더 멀리 처음으로 간다면 가득한 공간은 없다. 쉽지 않은가. 비워진 처음에 무언가를 채웠고, 채워진 공간은 착각이었다. 그래서 지금의 내 느낌은 착각이다. 위로인가. 가만히 둔다. 느낌은 오래지 않고 나는 다시 착각할 것이다. 찬 바람뒤로 공간의 희미한 매미소리가 들리는 것은 착각이다. 가만히 둔다. 제 3 장 정신을 차릴수 없다. 게임이 끝나고 복기를 시작하기 전. 목적 없는 시선으로 주위의 침묵을 원하지만 의미는 없다. 귀는 멀었고 초점없는 눈으로는 아무것도 볼수 없다. 게임의 결과는 뻔하다. 모두가 이기고 싶지만 이긴 사람은 없다. 이길뻔 했다는 억지스런 위로로 패배의 당혹과 분노를 희석하려 한다. 아니 패배로 인한 당혹과 분노는 없다. 항상 패배하는 것이 나의 게임이고 그것은 이미 익숙한 유행가이므로. 철지난 유행가를 곱씹을때 갖는 희미한 서글픔 이라면 충분하다. 다시 정신을 차려야 한다. 나는 혼자가 아니고 해야할 있은 산적해 있다. 고개를 들어 초점을 맞추고 일단은 두리번 거려야 한다. 이곳이 어디인지 알아야 한다. 어머니 여긴 어디인가요.. 제 4 장 어둠이 깔린지는 오래 되었고, 그 진하기를 가늠할 수 없는 시간이다. 눈을 뜨거나 감는 것은 시간을 의심하는데 아무런 도움이 되지 않는다. 이 시간에 눈은 있으며 또 없다. 눈이 없는 공간. 공간의 부피를 눈이 없이 어떻게 느낄수 있는가. 이미 눈은 없는 것과 마찬가지이므로, 공간의 깊이에 집중한다. 내 몸은 위로 펼쳐진 공간, 그 아래 한없이 가라 앉아 바닥의 바닥을 느끼고 있다. 차이가 있다. 추락한 인간이 느끼는 기분과 지금 공간에서 느끼는 깊이는. 하지만 그 모두를 느끼는데 눈은 필요하지 않다. 다시 말하고 싶다. 추락한 인간에게 눈은 있으나 없는 것이다. 지금 공간의 깊이에 집중하는 상황인 것이다. 보이지 않는 공간에 느껴지는 깊이. 추락의 끝은 등이 닿게 될때 확실히 알게 될 것이다.",무기력을 벗어나려 한걸음 내딛기 시작하는 것이 내가 갖을수 있는 유일한 성실이고 존재의 증명이다. 걸을 때는 익숙하지만 지루한 반복에 일상은 더욱 무기력 하고 평이해 간다.
